item_name,item_en_name,item_alias,reference_range,unit,high_meaning,low_meaning
肌酐,CREA,血肌酐/Cr/Scr,41-97,μmol/L,通用科普信息：升高可能与肾脏排泄能力变化、剧烈运动、肌肉量偏大等因素相关；参考范围存在性别差异，此处采用通用口径，请以化验单标注为准，建议结合复查与医生意见综合评估。,通用科普信息：降低可能与肌肉量偏小、营养摄入不足等因素相关；参考范围存在性别差异，此处采用通用口径，请以化验单标注为准，建议结合复查与医生意见综合评估。
尿酸,UA,血尿酸,155-428,μmol/L,通用科普信息：升高可能与饮食结构、饮酒、体重偏高、肾脏排泄能力变化等因素相关；参考范围存在性别差异，此处采用通用口径，请以化验单标注为准，建议结合复查与医生意见综合评估。,通用科普信息：降低单独出现的参考意义有限；参考范围存在性别差异，此处采用通用口径，请以化验单标注为准，建议结合复查与医生意见综合评估。
总胆固醇,TC,胆固醇/血胆固醇,<5.2,mmol/L,通用科普信息：升高常与饮食结构、体重、遗传等因素相关，建议结合其他血脂指标与医生意见综合评估。,,
甘油三酯,TG,三酰甘油,<1.7,mmol/L,通用科普信息：升高常与饮食结构、饮酒、体重、近期进食状态等因素相关，建议复查时保持空腹8小时以上并结合医生意见综合评估。,,
高密度脂蛋白胆固醇,HDL-C,高密度脂蛋白/HDL,>1.0,mmol/L,,通用科普信息：降低常与缺乏运动、体重偏高、吸烟等因素相关，该指标偏低更值得关注，建议结合其他血脂指标与医生意见综合评估。
低密度脂蛋白胆固醇,LDL-C,低密度脂蛋白/LDL,<3.4,mmol/L,通用科普信息：升高常与饮食结构、体重、遗传等因素相关，建议结合其他血脂指标与医生意见综合评估。,,
钾,K,血钾,3.5-5.3,mmol/L,通用科普信息：升高可能与肾脏排泄能力变化、部分药物、标本溶血等因素相关，建议结合复查与医生意见综合评估。,通用科普信息：降低可能与进食不足、呕吐腹泻丢失、部分药物等因素相关，建议结合复查与医生意见综合评估。
钠,Na,血钠,137-147,mmol/L,通用科普信息：升高可能与水分摄入不足、脱水等因素相关，建议结合复查与医生意见综合评估。,通用科普信息：降低可能与水分摄入偏多、呕吐腹泻丢失、部分药物等因素相关，建议结合复查与医生意见综合评估。
氯,CL,血氯/氯化物,99-110,mmol/L,通用科普信息：升高可能与脱水、酸碱状态变化等因素相关，建议结合其他电解质与医生意见综合评估。,通用科普信息：降低可能与呕吐、部分药物等因素相关，建议结合其他电解质与医生意见综合评估。
总钙,CA,血钙/钙,2.11-2.52,mmol/L,通用科普信息：升高可能与甲状旁腺功能、骨代谢、部分药物等因素相关，建议结合白蛋白与医生意见综合评估。,通用科普信息：降低可能与白蛋白水平、维生素D摄入、甲状旁腺功能等因素相关，建议结合复查与医生意见综合评估。
无机磷,P,血磷/磷,0.85-1.51,mmol/L,通用科普信息：升高可能与肾脏排泄能力变化、骨代谢等因素相关，建议结合钙与医生意见综合评估。,通用科普信息：降低可能与进食不足、维生素D摄入、酒精等因素相关，建议结合复查与医生意见综合评估。
镁,MG,血镁,0.75-1.02,mmol/L,通用科普信息：升高可能与肾脏排泄能力变化、部分药物等因素相关，建议结合复查与医生意见综合评估。,通用科普信息：降低可能与进食不足、呕吐腹泻丢失、部分药物等因素相关，建议结合复查与医生意见综合评估。
促甲状腺激素,TSH,,0.27-4.2,mIU/L,通用科普信息：升高可能与甲状腺激素合成不足、部分药物、应激等因素相关，建议结合甲状腺激素指标与医生意见综合评估。,通用科普信息：降低可能与甲状腺激素水平偏高、部分药物、妊娠等因素相关，建议结合甲状腺激素指标与医生意见综合评估。
游离甲状腺素,FT4,游离T4,12-22,pmol/L,通用科普信息：升高可能与甲状腺激素水平偏高、部分药物等因素相关，建议结合促甲状腺激素与医生意见综合评估。,通用科普信息：降低可能与甲状腺激素合成不足、部分药物等因素相关，建议结合促甲状腺激素与医生意见综合评估。
游离三碘甲状腺原氨酸,FT3,游离T3,3.1-6.8,pmol/L,通用科普信息：升高可能与甲状腺激素水平偏高、部分药物等因素相关，建议结合促甲状腺激素与医生意见综合评估。,通用科普信息：降低可能与甲状腺激素合成不足、全身状态变化等因素相关，建议结合促甲状腺激素与医生意见综合评估。
